Iso8601Time,3579.feed_161522.tvoc_ch0
2023-10-25T05:06:42.081000-04:00,50
2023-10-25T05:06:43.081000-04:00,46
2023-10-25T05:06:44.080000-04:00,58
2023-10-25T05:06:45.081000-04:00,46
2023-10-25T05:06:46.081000-04:00,45
2023-10-25T05:06:47.082000-04:00,53
2023-10-25T05:06:48.080000-04:00,52
2023-10-25T05:06:49.080000-04:00,55
2023-10-25T05:06:50.080000-04:00,49
2023-10-25T05:06:51.080000-04:00,38
2023-10-25T05:06:52.080000-04:00,45
2023-10-25T05:06:53.080000-04:00,46
2023-10-25T05:06:54.083000-04:00,61
2023-10-25T05:06:55.080000-04:00,49
2023-10-25T05:06:56.082000-04:00,41
2023-10-25T05:06:57.081000-04:00,48
2023-10-25T05:06:58.081000-04:00,62
2023-10-25T05:06:59.080000-04:00,39
2023-10-25T05:07:00.081000-04:00,50
2023-10-25T05:07:01.082000-04:00,40
2023-10-25T05:07:02.080000-04:00,45
2023-10-25T05:07:03.084000-04:00,41
2023-10-25T05:07:04.080000-04:00,46
2023-10-25T05:07:05.080000-04:00,44
2023-10-25T05:07:06.082000-04:00,46
2023-10-25T05:07:07.080000-04:00,45
2023-10-25T05:07:08.080000-04:00,31
2023-10-25T05:07:09.080000-04:00,49
2023-10-25T05:07:10.080000-04:00,42
2023-10-25T05:07:11.080000-04:00,54
2023-10-25T05:07:12.081000-04:00,39
2023-10-25T05:07:13.083000-04:00,39
2023-10-25T05:07:14.080000-04:00,37
2023-10-25T05:07:15.081000-04:00,32
2023-10-25T05:07:16.080000-04:00,46
2023-10-25T05:07:17.080000-04:00,41
2023-10-25T05:07:18.080000-04:00,39
2023-10-25T05:07:19.080000-04:00,46
2023-10-25T05:07:20.081000-04:00,40
2023-10-25T05:07:21.080000-04:00,40
2023-10-25T05:07:22.080000-04:00,41
2023-10-25T05:07:23.081000-04:00,44
2023-10-25T05:07:24.080000-04:00,53
2023-10-25T05:07:25.080000-04:00,53
2023-10-25T05:07:26.080000-04:00,42
2023-10-25T05:07:27.081000-04:00,39
2023-10-25T05:07:28.080000-04:00,43
2023-10-25T05:07:29.080000-04:00,53
2023-10-25T05:07:30.080000-04:00,45
2023-10-25T05:07:31.080000-04:00,43
2023-10-25T05:07:32.080000-04:00,38
2023-10-25T05:07:33.082000-04:00,48
2023-10-25T05:07:34.080000-04:00,43
2023-10-25T05:07:35.081000-04:00,42
2023-10-25T05:07:36.080000-04:00,45
2023-10-25T05:07:37.080000-04:00,49
2023-10-25T05:07:38.080000-04:00,45
2023-10-25T05:07:39.085000-04:00,49
2023-10-25T05:07:40.081000-04:00,44
2023-10-25T05:07:41.080000-04:00,49
2023-10-25T05:07:42.081000-04:00,51
2023-10-25T05:07:43.080000-04:00,61
2023-10-25T05:07:44.083000-04:00,45
2023-10-25T05:07:45.080000-04:00,50
2023-10-25T05:07:46.080000-04:00,44
2023-10-25T05:07:47.080000-04:00,47
2023-10-25T05:07:48.080000-04:00,40
2023-10-25T05:07:49.083000-04:00,48
2023-10-25T05:07:50.081000-04:00,44
2023-10-25T05:07:51.080000-04:00,48
2023-10-25T05:07:52.080000-04:00,44
2023-10-25T05:07:53.080000-04:00,47
2023-10-25T05:07:54.082000-04:00,57
2023-10-25T05:07:55.081000-04:00,50
2023-10-25T05:07:56.080000-04:00,34
2023-10-25T05:07:57.081000-04:00,59
2023-10-25T05:07:58.081000-04:00,42
2023-10-25T05:07:59.081000-04:00,45
2023-10-25T05:08:00.081000-04:00,48
2023-10-25T05:08:01.081000-04:00,50
2023-10-25T05:08:02.080000-04:00,48
2023-10-25T05:08:03.080000-04:00,29
2023-10-25T05:08:04.081000-04:00,48
2023-10-25T05:08:05.081000-04:00,45
2023-10-25T05:08:06.081000-04:00,47
2023-10-25T05:08:07.081000-04:00,39
2023-10-25T05:08:08.080000-04:00,47
2023-10-25T05:08:09.080000-04:00,56
2023-10-25T05:08:10.080000-04:00,49
2023-10-25T05:08:11.080000-04:00,53
2023-10-25T05:08:12.081000-04:00,53
2023-10-25T05:08:13.081000-04:00,56
2023-10-25T05:08:14.080000-04:00,56
2023-10-25T05:08:15.082000-04:00,49
2023-10-25T05:08:16.082000-04:00,46
2023-10-25T05:08:17.080000-04:00,50
2023-10-25T05:08:18.080000-04:00,51
2023-10-25T05:08:19.080000-04:00,49
2023-10-25T05:08:20.080000-04:00,56
2023-10-25T05:08:21.080000-04:00,45
2023-10-25T05:08:22.080000-04:00,46
2023-10-25T05:08:23.080000-04:00,54
2023-10-25T05:08:24.081000-04:00,51
2023-10-25T05:08:25.080000-04:00,63
2023-10-25T05:08:26.080000-04:00,54
2023-10-25T05:08:27.081000-04:00,44
2023-10-25T05:08:28.086000-04:00,66
2023-10-25T05:08:29.081000-04:00,57
2023-10-25T05:08:30.081000-04:00,58
2023-10-25T05:08:31.080000-04:00,47
2023-10-25T05:08:32.081000-04:00,46
2023-10-25T05:08:33.080000-04:00,50
2023-10-25T05:08:34.081000-04:00,45
2023-10-25T05:08:35.080000-04:00,62
2023-10-25T05:08:36.080000-04:00,51
2023-10-25T05:08:37.083000-04:00,78
2023-10-25T05:08:38.080000-04:00,53
2023-10-25T05:08:39.080000-04:00,52
2023-10-25T05:08:40.080000-04:00,33
2023-10-25T05:08:41.080000-04:00,58
2023-10-25T05:08:42.081000-04:00,62
2023-10-25T05:08:43.080000-04:00,66
2023-10-25T05:08:44.080000-04:00,67
2023-10-25T05:08:45.081000-04:00,69
2023-10-25T05:08:46.082000-04:00,61
2023-10-25T05:08:47.080000-04:00,65
2023-10-25T05:08:48.081000-04:00,55
2023-10-25T05:08:49.080000-04:00,59
2023-10-25T05:08:50.080000-04:00,68
2023-10-25T05:08:51.080000-04:00,58
2023-10-25T05:08:52.080000-04:00,47
2023-10-25T05:08:53.080000-04:00,60
2023-10-25T05:08:54.080000-04:00,55
2023-10-25T05:08:55.080000-04:00,57
2023-10-25T05:08:56.080000-04:00,55
2023-10-25T05:08:57.081000-04:00,71
2023-10-25T05:08:58.080000-04:00,53
2023-10-25T05:08:59.081000-04:00,67
2023-10-25T05:09:00.080000-04:00,75
2023-10-25T05:09:01.081000-04:00,54
2023-10-25T05:09:02.081000-04:00,69
2023-10-25T05:09:03.080000-04:00,61
2023-10-25T05:09:04.081000-04:00,64
2023-10-25T05:09:05.080000-04:00,65
2023-10-25T05:09:06.080000-04:00,49
2023-10-25T05:09:07.083000-04:00,58
2023-10-25T05:09:08.081000-04:00,64
2023-10-25T05:09:09.080000-04:00,60
2023-10-25T05:09:10.080000-04:00,72
2023-10-25T05:09:11.080000-04:00,61
2023-10-25T05:09:12.081000-04:00,71
2023-10-25T05:09:13.081000-04:00,61
2023-10-25T05:09:14.083000-04:00,59
2023-10-25T05:09:15.081000-04:00,63
2023-10-25T05:09:16.081000-04:00,61
2023-10-25T05:09:17.083000-04:00,57
2023-10-25T05:09:18.080000-04:00,63
2023-10-25T05:09:19.080000-04:00,58
2023-10-25T05:09:20.080000-04:00,58
2023-10-25T05:09:21.080000-04:00,73
2023-10-25T05:09:22.080000-04:00,62
2023-10-25T05:09:23.080000-04:00,73
2023-10-25T05:09:24.080000-04:00,87
2023-10-25T05:09:25.083000-04:00,68
2023-10-25T05:09:26.080000-04:00,70
2023-10-25T05:09:27.080000-04:00,53
2023-10-25T05:09:28.080000-04:00,66
2023-10-25T05:09:29.080000-04:00,70
2023-10-25T05:09:30.080000-04:00,68
2023-10-25T05:09:31.081000-04:00,64
2023-10-25T05:09:32.080000-04:00,64
2023-10-25T05:09:33.080000-04:00,70
2023-10-25T05:09:34.080000-04:00,59
2023-10-25T05:09:35.080000-04:00,71
2023-10-25T05:09:36.080000-04:00,63
2023-10-25T05:09:37.080000-04:00,62
2023-10-25T05:09:38.081000-04:00,64
2023-10-25T05:09:39.080000-04:00,69
2023-10-25T05:09:40.080000-04:00,69
2023-10-25T05:09:41.080000-04:00,76
2023-10-25T05:09:42.080000-04:00,81
2023-10-25T05:09:43.080000-04:00,64
2023-10-25T05:09:44.080000-04:00,62
2023-10-25T05:09:45.081000-04:00,67
2023-10-25T05:09:46.081000-04:00,60
2023-10-25T05:09:47.080000-04:00,57
2023-10-25T05:09:48.080000-04:00,57
2023-10-25T05:09:49.080000-04:00,63
2023-10-25T05:09:50.081000-04:00,67
2023-10-25T05:09:51.080000-04:00,49
2023-10-25T05:09:52.081000-04:00,70
2023-10-25T05:09:53.080000-04:00,62
2023-10-25T05:09:54.080000-04:00,61
2023-10-25T05:09:55.080000-04:00,57
2023-10-25T05:09:56.080000-04:00,56
2023-10-25T05:09:57.080000-04:00,56
2023-10-25T05:09:58.080000-04:00,55
2023-10-25T05:09:59.084000-04:00,50
2023-10-25T05:10:00.081000-04:00,62
2023-10-25T05:10:01.080000-04:00,60
2023-10-25T05:10:02.080000-04:00,56
2023-10-25T05:10:03.081000-04:00,51
2023-10-25T05:10:04.080000-04:00,54
2023-10-25T05:10:05.082000-04:00,61
2023-10-25T05:10:06.081000-04:00,58
